id,Project,TeamExp,ManagerExp,YearEnd,Length,Effort,Transactions,Entities,PointsNonAdjust,Adjustment,PointsAjust,Language
504,504,2,1,83,19,3203,477,158,1136,52,566,3
505,505,1,3,82,16,3204,230,224,1564,59,723,2
506,506,2,3,84,14,3205,388,193,862,42,726,4
507,507,1,2,84,17,3206,208,276,1089,30,935,3
508,508,3,1,84,14,3207,587,193,781,39,730,2
509,509,2,2,83,19,3208,566,145,762,46,598,3
510,510,2,3,82,19,3209,610,271,1232,37,667,3
511,511,2,1,83,23,3210,843,292,1481,35,820,4
512,512,2,2,83,19,3211,895,295,949,57,668,4
513,513,1,2,83,23,3212,158,292,769,43,585,3
514,514,2,2,83,20,3213,536,248,843,45,785,3
515,515,1,1,84,19,3214,580,270,846,38,664,3
516,516,1,3,83,22,3215,786,289,1057,34,823,3
517,517,2,1,84,18,3216,597,307,966,52,910,2
518,518,2,3,84,16,3217,836,175,1022,59,750,3
519,519,1,1,83,18,3218,856,143,792,62,814,3
520,520,2,2,82,14,3219,707,174,644,44,883,3
521,521,2,2,83,17,3220,460,149,705,36,625,4
522,522,1,1,84,18,3221,599,291,1516,49,613,4
523,523,2,2,84,22,3222,537,150,763,37,643,4
524,524,1,2,84,19,3223,555,241,1367,58,712,3
525,525,1,2,82,21,3224,195,230,592,50,865,3
526,526,2,2,83,14,3225,836,259,1147,50,853,4
527,527,2,3,82,21,3226,389,199,652,52,922,3
528,528,2,2,83,20,3227,543,191,1520,56,609,3
529,529,3,1,84,17,3228,825,236,1024,62,892,3
530,530,1,2,82,16,3229,365,206,865,29,695,3
531,531,2,3,82,16,3230,191,307,1211,43,572,4
532,532,2,3,82,14,3231,295,206,772,53,664,4
533,533,2,2,82,14,3232,884,226,967,40,859,3
534,534,3,1,84,15,3233,910,149,910,48,518,4
535,535,3,3,83,18,3234,161,184,1396,44,708,3
536,536,2,3,83,16,3235,196,188,973,42,611,4
537,537,2,3,84,22,3236,567,170,1241,56,617,3
538,538,3,2,83,23,3237,239,228,752,42,649,2
539,539,2,2,82,22,3238,267,213,841,47,595,2
540,540,2,3,83,17,3239,447,270,959,41,790,3
541,541,2,2,83,24,3240,579,273,1319,62,807,3
542,542,2,2,83,16,3241,157,256,1452,40,604,3
543,543,1,2,83,17,3242,514,147,859,52,863,2
544,544,3,2,83,19,3243,308,293,1150,50,572,4
545,545,1,1,83,18,3244,137,262,1540,58,733,4
546,546,1,3,83,19,3245,709,297,797,63,655,4
547,547,2,2,83,19,3246,432,187,883,46,780,2
548,548,2,3,83,16,3247,389,249,1213,54,660,2
549,549,3,3,82,20,3248,518,178,784,56,741,4
550,550,2,3,84,15,3249,183,222,1252,44,924,2
551,551,3,2,82,14,3250,473,205,682,41,787,4
552,552,1,3,82,15,3251,630,188,928,50,802,4
553,553,3,3,83,19,3252,223,269,1316,45,621,2
554,554,2,3,83,14,3253,427,216,949,43,623,2
555,555,2,2,83,21,3254,346,268,1001,37,774,4
556,556,2,3,83,14,3255,423,276,1288,51,876,4
557,557,2,2,82,22,3256,472,255,665,57,638,4
558,558,2,1,82,23,3257,898,168,1275,61,794,2
559,559,2,1,83,23,3258,727,277,1559,59,576,3
560,560,3,3,83,23,3259,675,235,1010,37,921,4
561,561,1,2,83,15,3260,694,232,1318,30,534,4
562,562,1,3,83,20,3261,833,220,698,27,733,2
563,563,2,3,84,14,3262,898,288,1305,38,827,2
564,564,3,2,82,12,3263,174,252,1352,54,921,4
565,565,1,2,82,12,3264,600,220,1314,39,877,2
566,566,2,3,84,15,3265,621,279,1054,41,692,4
567,567,2,1,84,18,3266,734,175,997,54,510,2
568,568,2,3,82,12,3267,355,162,1477,43,816,3
569,569,2,1,84,13,3268,779,202,824,57,877,4
570,570,1,3,84,19,3269,661,201,1147,45,703,3
571,571,2,2,83,19,3270,421,282,754,27,565,4
572,572,2,3,84,12,3271,590,293,604,60,539,3
573,573,2,2,83,20,3272,818,180,1197,39,687,4
574,574,3,1,83,16,3273,840,154,1086,40,782,3
575,575,2,2,83,21,3274,245,285,1194,45,582,2
576,576,3,2,83,24,3275,735,165,1187,35,788,4
577,577,2,2,84,17,3276,135,249,1553,44,710,3
578,578,2,3,83,23,3277,815,232,1067,27,841,4
579,579,3,3,83,15,3278,531,260,631,53,857,2
580,580,2,3,84,21,3279,752,219,1566,36,869,3
581,581,2,2,84,14,3280,456,160,1330,55,767,4
582,582,1,3,84,16,3281,469,280,1378,33,781,3
583,583,2,2,83,20,3282,889,204,880,50,792,2
584,584,3,1,82,14,3283,219,208,613,49,766,3
585,585,3,1,83,13,3284,822,237,1004,50,552,3
586,586,2,1,83,19,3285,656,263,798,40,922,3
587,587,3,3,83,14,3286,367,309,687,50,598,4
588,588,1,2,84,19,3287,580,266,773,50,522,2
589,589,1,1,83,14,3288,826,168,599,55,754,3
590,590,2,2,82,19,3289,798,151,983,62,541,4
591,591,3,2,84,14,3290,355,193,678,40,896,3
592,592,3,2,83,17,3291,387,283,1230,57,770,4
593,593,2,1,83,24,3292,810,206,676,51,918,4
594,594,2,2,84,15,3293,838,280,713,32,675,4
595,595,3,2,84,20,3294,301,263,785,58,860,3
596,596,1,2,84,13,3295,284,190,822,29,898,4
597,597,2,2,83,16,3296,784,196,1560,51,803,3
598,598,3,3,84,22,3297,263,231,594,36,567,3
599,599,3,2,83,16,3298,374,303,594,63,526,3
600,600,3,1,83,15,3299,139,280,656,41,727,2
601,601,2,2,82,21,3300,678,252,1338,43,559,3
602,602,2,3,84,13,3301,636,182,1310,35,788,4
603,603,2,1,83,14,3302,476,201,1426,43,696,3
604,604,3,2,84,16,3303,171,180,999,31,816,4
605,605,3,2,83,24,3304,365,170,925,52,767,2
606,606,1,1,83,15,3305,412,252,716,38,696,3
607,607,2,2,83,13,3306,380,161,859,60,780,4
608,608,1,2,82,17,3307,744,259,824,52,719,4
609,609,2,2,84,24,3308,777,261,988,38,872,4
610,610,2,3,84,22,3309,146,259,943,47,843,2
611,611,1,1,82,22,3310,266,282,987,52,857,3
612,612,3,1,83,24,3311,428,236,1457,64,619,3
613,613,2,3,83,13,3312,401,211,1431,29,702,3
614,614,3,2,83,17,3313,905,213,1423,44,742,3
615,615,2,2,82,19,3314,840,226,1401,50,669,3
616,616,1,2,82,19,3315,857,280,1532,33,620,2
617,617,3,3,83,20,3316,540,207,1567,49,545,2
618,618,2,1,82,17,3317,826,171,679,55,848,4
619,619,3,3,84,20,3318,284,203,665,49,609,3
620,620,2,3,83,21,3319,907,306,1100,55,607,3
621,621,2,3,83,20,3320,325,278,1367,62,620,2
622,622,2,1,82,22,3321,268,216,621,57,551,4
623,623,3,2,82,15,3322,483,263,1104,49,564,4
624,624,3,2,83,12,3323,491,159,1412,43,815,2
625,625,2,2,83,21,3324,300,160,1095,45,601,2
626,626,2,3,82,13,3325,380,146,712,60,602,3
627,627,2,3,84,18,3326,771,302,1207,46,801,4
628,628,2,2,83,19,3327,624,242,898,38,536,2
629,629,1,2,83,19,3328,921,299,988,41,777,3
630,630,1,2,82,21,3329,632,182,933,43,783,4
631,631,2,3,83,15,3330,638,175,822,41,864,3
632,632,2,2,83,18,3331,449,299,1451,44,881,4
633,633,2,2,82,13,3332,462,195,666,36,758,2
634,634,2,2,83,22,3333,892,278,1326,33,540,4
635,635,1,2,82,16,3334,246,245,1257,58,601,4
636,636,1,1,83,17,3335,343,184,1472,39,870,2
637,637,3,1,82,14,3336,600,182,854,56,801,2
638,638,1,2,82,19,3337,778,225,975,29,788,4
639,639,3,2,83,17,3338,913,225,1481,53,633,2
640,640,1,2,84,20,3339,861,224,749,31,591,2
641,641,1,2,82,21,3340,248,224,1297,41,816,3
642,642,3,3,84,20,3341,608,195,853,52,606,3
643,643,3,2,83,19,3342,346,287,1135,47,757,3
644,644,3,2,83,20,3343,488,278,788,34,517,3
645,645,2,1,83,23,3344,143,243,1363,43,560,3
646,646,3,3,83,16,3345,428,276,1059,40,604,2
647,647,2,3,83,17,3346,473,270,693,29,605,4
648,648,1,3,83,22,3347,481,270,1126,33,750,4
649,649,2,2,82,18,3348,157,149,747,62,707,2
650,650,2,1,84,17,3349,822,170,1521,38,860,3
651,651,2,2,83,15,3350,187,188,884,50,903,3
652,652,3,1,83,18,3351,368,148,1043,29,561,4
653,653,3,1,83,18,3352,587,191,1392,36,598,3
654,654,2,1,82,18,3353,670,263,902,63,754,2
655,655,3,2,82,18,3354,655,256,1257,63,880,2
656,656,3,1,83,21,3355,777,310,1156,32,562,2
657,657,2,1,84,17,3356,384,193,783,63,637,2
658,658,1,2,83,24,3357,215,303,947,54,615,3
659,659,3,2,84,17,3358,428,292,1245,61,792,4
660,660,2,2,83,12,3359,477,304,1130,37,556,3
661,661,2,2,83,16,3360,615,238,884,57,540,3
662,662,2,2,83,19,3361,540,257,1058,37,861,4
663,663,2,2,83,22,3362,320,222,717,55,818,4
664,664,1,3,83,19,3363,843,305,892,61,782,4
665,665,2,2,84,14,3364,523,156,1506,57,918,4
666,666,2,2,83,15,3365,591,196,1039,37,811,4
667,667,3,3,82,17,3366,276,186,1435,36,918,3
668,668,2,2,83,17,3367,348,183,1394,54,529,3
669,669,2,1,83,16,3368,556,187,641,60,634,3
670,670,1,2,82,15,3369,671,267,670,31,583,2
671,671,1,2,84,21,3370,251,241,778,38,615,3
672,672,3,2,83,12,3371,297,147,1457,62,635,3
673,673,2,1,82,16,3372,351,175,1430,50,531,4
674,674,1,2,82,20,3373,209,309,802,53,720,4
675,675,3,2,84,14,3374,393,269,1496,43,786,3
676,676,1,3,84,24,3375,461,250,1483,44,587,3
677,677,1,2,83,12,3376,396,252,679,48,902,3
678,678,3,3,82,20,3377,886,218,1434,47,578,3
679,679,1,3,83,18,3378,422,236,1506,33,766,2
680,680,1,1,82,23,3379,190,236,1351,54,541,3
681,681,2,2,82,15,3380,885,214,1035,55,928,2
682,682,3,1,83,23,3381,419,167,1221,63,670,3
683,683,2,2,82,15,3382,485,208,944,28,853,4
684,684,2,2,83,15,3383,591,231,932,33,535,4
685,685,1,3,83,20,3384,364,209,616,29,703,4
686,686,2,1,84,23,3385,833,296,952,31,719,4
687,687,2,2,83,19,3386,611,146,944,57,803,3
688,688,2,3,84,22,3387,382,196,1142,40,857,2
689,689,3,3,82,17,3388,472,183,879,31,516,4
690,690,2,1,82,23,3389,439,257,1067,51,780,2
691,691,2,2,82,23,3390,175,169,1505,62,534,3
692,692,2,1,84,12,3391,796,249,644,45,661,4
693,693,2,3,83,22,3392,650,301,1561,64,689,4
694,694,3,1,83,14,3393,629,173,1156,32,890,4
695,695,2,2,82,17,3394,212,210,1337,43,629,3
696,696,2,1,82,19,3395,761,266,1440,43,515,4
697,697,2,1,82,20,3396,655,163,1374,52,872,3
698,698,1,2,82,13,3397,776,227,918,62,921,2
699,699,2,2,82,13,3398,677,273,821,57,754,2
700,700,2,2,83,18,3399,516,154,1220,49,709,4
701,701,3,3,83,19,3400,351,291,1374,36,515,4
702,702,2,2,83,23,3401,797,224,1567,37,559,2
703,703,3,2,82,22,3402,141,191,725,42,799,3
704,704,1,1,84,18,3403,406,179,723,58,617,4
705,705,1,2,83,21,3404,365,247,634,49,657,3
706,706,2,3,82,20,3405,315,154,1259,50,934,3
707,707,2,2,84,22,3406,744,216,1040,30,535,3
708,708,2,2,84,22,3407,639,291,859,46,639,4
709,709,3,2,83,12,3408,632,209,797,53,875,3
710,710,1,2,83,14,3409,834,250,1114,49,772,3
711,711,2,1,84,21,3410,155,251,1139,38,728,3
712,712,2,2,83,24,3411,873,282,1254,55,810,3
713,713,2,3,84,23,3412,912,297,1131,54,613,3
714,714,3,2,83,18,3413,859,254,892,56,568,2
715,715,3,2,84,19,3414,532,213,1475,43,615,2
716,716,2,2,82,18,3415,482,149,608,35,584,2
717,717,2,2,82,18,3416,671,183,893,43,675,3
718,718,3,3,83,15,3417,228,299,1265,31,670,3
719,719,2,2,83,19,3418,182,290,952,48,824,2
720,720,2,2,83,17,3419,169,160,1324,45,760,3
721,721,2,2,83,17,3420,769,168,926,44,582,3
722,722,1,1,84,23,3421,592,243,1566,44,765,3
723,723,2,3,82,16,3422,296,207,1259,30,630,3
724,724,2,2,83,12,3423,401,154,1461,59,816,3
725,725,1,2,84,22,3424,569,220,1275,61,742,4
726,726,3,3,84,15,3425,458,266,618,29,653,2
727,727,1,1,83,20,3426,854,251,1421,49,508,4
728,728,1,3,83,24,3427,603,282,999,47,790,2
729,729,1,3,84,18,3428,195,185,1265,56,609,2
730,730,2,2,84,17,3429,228,204,1133,43,725,3
731,731,2,2,83,20,3430,677,281,1340,27,855,2
732,732,3,3,82,17,3431,396,165,945,30,638,3
733,733,2,2,83,16,3432,398,151,1199,55,919,4
734,734,3,2,82,18,3433,198,296,672,57,646,4
735,735,1,3,82,16,3434,302,286,826,60,891,2
736,736,2,2,82,16,3435,368,159,820,27,745,2
737,737,1,3,84,24,3436,669,174,866,61,615,4
738,738,2,2,84,12,3437,438,265,667,42,683,2
739,739,2,3,84,19,3438,483,302,1499,37,876,3
740,740,2,3,83,12,3439,329,277,1052,43,562,2
741,741,2,3,82,22,3440,682,164,1507,51,922,2
742,742,2,2,83,12,3441,169,236,750,57,922,3
743,743,2,3,82,21,3442,736,273,1429,48,817,4
744,744,1,2,84,20,3443,827,226,1261,61,701,4
745,745,2,1,83,14,3444,861,287,1287,39,706,3
746,746,3,2,83,24,3445,324,197,885,51,882,2
747,747,3,2,83,22,3446,244,259,1282,41,620,2
748,748,2,2,84,22,3447,907,185,1570,61,534,4
749,749,1,2,83,23,3448,843,160,881,53,868,4
750,750,2,2,82,15,3449,384,225,1377,58,875,4
751,751,1,3,83,14,3450,455,298,790,55,739,3
752,752,2,2,83,20,3451,307,221,1402,59,771,3
753,753,3,2,83,12,3452,238,223,1314,35,686,3
754,754,2,2,83,14,3453,803,245,1365,28,788,3
755,755,2,2,82,23,3454,454,228,891,36,536,2
756,756,1,3,82,18,3455,384,222,926,54,537,4
757,757,1,2,84,23,3456,164,296,754,37,587,3
758,758,2,1,83,16,3457,915,184,779,46,599,3
759,759,2,3,83,22,3458,314,254,1141,60,578,4
760,760,1,2,84,13,3459,714,250,1380,52,671,4
761,761,3,2,82,15,3460,768,160,920,54,668,2
762,762,2,1,82,21,3461,665,282,734,41,544,4
763,763,2,1,82,14,3462,212,261,616,31,753,3
764,764,3,2,84,17,3463,834,308,675,62,633,2
765,765,1,3,82,15,3464,524,286,1424,38,622,3
766,766,3,2,82,23,3465,764,145,1001,54,664,2
767,767,3,2,83,18,3466,764,301,1501,50,772,2
768,768,1,1,84,24,3467,193,143,1049,45,816,3
769,769,2,3,84,23,3468,187,240,1496,51,645,3
770,770,1,3,83,22,3469,623,162,1574,28,603,3
771,771,2,2,83,16,3470,421,178,1429,39,835,2
772,772,1,1,84,18,3471,908,180,1095,49,648,3
773,773,3,1,83,13,3472,422,218,662,48,662,3
774,774,3,2,83,21,3473,803,204,900,47,534,3
775,775,3,2,83,15,3474,167,305,1303,54,525,4
776,776,3,3,84,19,3475,754,199,1030,46,600,2
777,777,3,3,83,22,3476,767,229,816,48,821,4
778,778,1,2,83,15,3477,674,283,771,34,629,3
779,779,3,2,83,14,3478,347,205,951,43,629,3
780,780,3,1,82,12,3479,301,221,970,33,780,2
781,781,1,1,82,18,3480,734,206,1008,30,536,3
782,782,3,2,82,23,3481,343,273,738,39,874,3
783,783,1,2,83,21,3482,723,256,1495,61,859,3
784,784,1,3,83,15,3483,600,235,702,31,564,3
785,785,2,2,84,20,3484,264,307,1503,55,890,3
786,786,2,2,82,16,3485,848,305,1166,62,933,4
787,787,2,1,84,22,3486,846,168,1387,61,557,4
788,788,2,2,83,21,3487,162,241,771,40,595,3
789,789,1,3,84,21,3488,606,207,1525,40,863,3
790,790,1,1,82,18,3489,634,196,1380,53,635,3
791,791,3,2,84,12,3490,815,195,1065,49,568,3
792,792,1,2,84,23,3491,334,171,1562,51,734,4
793,793,1,2,83,23,3492,343,298,870,40,750,2
794,794,2,1,83,23,3493,337,283,1235,43,612,3
795,795,1,1,84,12,3494,868,217,1459,57,853,3
796,796,1,1,84,22,3495,804,305,1119,56,915,2
797,797,1,2,84,19,3496,481,200,605,47,757,4
798,798,1,3,82,14,3497,148,239,973,48,860,4
799,799,3,2,83,15,3498,706,248,615,38,874,3
800,800,3,1,82,13,3499,433,250,1534,27,730,3
801,801,2,2,83,17,3500,791,202,857,63,566,3
802,802,2,2,83,15,3501,491,208,1005,27,752,3
803,803,3,3,82,12,3502,313,228,620,45,878,2
804,804,2,2,83,14,3503,547,287,594,34,918,3
805,805,2,2,83,15,3504,824,274,1350,38,932,2
806,806,2,2,82,21,3505,676,182,1460,44,800,3
807,807,2,2,82,14,3506,209,238,1563,57,749,3
808,808,2,2,83,19,3507,457,253,1398,53,713,3
809,809,3,1,82,19,3508,532,241,747,33,805,4
810,810,2,2,82,14,3509,428,267,1479,60,511,2
811,811,1,2,83,22,3510,134,214,1375,31,827,3
812,812,2,3,83,16,3511,844,213,611,27,922,4
813,813,3,2,83,19,3512,595,164,962,27,924,2
814,814,2,1,83,14,3513,225,265,899,27,832,3
815,815,2,3,83,12,3514,813,197,792,42,774,4
816,816,3,1,83,21,3515,272,267,680,41,606,3
817,817,2,2,83,14,3516,335,173,1548,51,729,3
818,818,1,1,84,14,3517,908,300,1147,32,785,4
819,819,1,2,83,18,3518,227,212,678,52,832,3
820,820,2,1,83,21,3519,688,239,681,29,863,2
821,821,2,3,83,18,3520,559,306,1049,63,799,3
822,822,1,1,83,19,3521,433,253,1248,63,842,3
823,823,3,3,83,14,3522,703,151,1209,63,804,3
824,824,3,2,84,15,3523,455,248,985,53,559,4
825,825,2,2,83,14,3524,913,152,1066,33,619,3
826,826,2,2,83,20,3525,754,200,1252,37,931,2
827,827,2,2,83,21,3526,773,167,1297,57,610,2
828,828,1,2,82,12,3527,305,189,980,38,660,4
829,829,3,2,83,15,3528,241,179,1347,56,635,3
830,830,2,1,83,22,3529,262,250,1083,43,662,3
831,831,1,2,83,15,3530,509,252,700,55,796,3
832,832,1,1,83,14,3531,613,291,1527,30,651,3
833,833,2,3,83,20,3532,371,229,1000,37,527,2
834,834,1,2,84,17,3533,709,260,1534,32,794,4
835,835,2,2,82,23,3534,162,201,1009,46,859,2
836,836,3,3,83,20,3535,859,251,1064,42,577,3
837,837,2,2,83,14,3536,381,255,1063,50,791,3
838,838,2,1,84,14,3537,365,180,1123,30,646,2
839,839,3,2,83,23,3538,604,157,1221,31,764,3
840,840,1,1,82,24,3539,886,304,988,39,617,2
841,841,2,3,84,23,3540,512,173,887,50,896,3
842,842,3,3,83,20,3541,370,304,1121,60,913,2
843,843,3,1,84,16,3542,262,218,1430,27,610,4
844,844,1,3,83,20,3543,626,224,1230,29,517,3
845,845,2,2,83,15,3544,166,299,806,59,901,2
846,846,3,1,84,22,3545,288,271,1324,49,803,3
847,847,2,2,82,17,3546,215,215,1091,44,570,3
848,848,2,1,83,20,3547,704,165,1005,58,780,4
849,849,1,1,83,23,3548,582,237,1498,54,584,2
850,850,2,1,83,18,3549,594,241,1092,47,692,4
851,851,1,2,82,12,3550,300,228,886,51,801,2
852,852,2,2,83,16,3551,774,148,620,58,743,2
853,853,1,3,83,19,3552,440,255,914,54,728,4
854,854,1,1,82,18,3553,808,183,1494,41,676,3
855,855,2,3,83,20,3554,438,237,1029,50,654,4
856,856,1,2,83,23,3555,247,258,922,33,924,2
857,857,1,2,82,14,3556,203,252,623,57,737,2
858,858,2,2,83,20,3557,762,280,640,41,772,3
859,859,2,2,84,20,3558,710,266,1131,51,891,2
860,860,2,1,83,15,3559,824,226,636,48,858,4
861,861,2,1,84,23,3560,238,196,655,28,789,3
862,862,2,3,84,12,3561,902,281,898,38,508,3
863,863,3,1,82,21,3562,195,282,918,52,696,3
864,864,2,1,82,22,3563,830,294,678,35,539,3
865,865,2,1,83,13,3564,268,273,1566,48,846,3
866,866,2,2,84,19,3565,148,237,1114,40,841,3
867,867,2,2,83,13,3566,709,150,722,49,816,3
868,868,1,2,84,15,3567,200,287,1025,50,599,3
869,869,3,2,83,17,3568,677,247,1045,50,640,3
870,870,1,2,82,17,3569,656,212,1303,57,927,3
871,871,3,3,82,18,3570,340,254,721,62,847,3
872,872,2,2,83,19,3571,647,221,1186,36,699,3
873,873,2,1,84,23,3572,783,232,1196,64,675,2
874,874,1,1,83,13,3573,591,218,1213,38,851,3
875,875,2,2,83,20,3574,291,289,1065,53,723,3
876,876,2,1,83,16,3575,672,167,1018,48,559,3
877,877,2,2,83,21,3576,750,188,867,56,554,3
878,878,2,1,83,20,3577,841,168,661,27,622,3
879,879,2,3,83,20,3578,744,233,980,31,890,3
880,880,2,2,83,16,3579,847,194,1070,60,776,4
881,881,2,1,82,12,3580,411,243,1088,28,509,3
882,882,1,2,83,21,3581,363,304,770,62,635,3
883,883,3,2,83,18,3582,520,154,1344,37,714,3
884,884,1,3,83,21,3583,698,273,1203,50,867,4
885,885,1,1,82,24,3584,574,284,1455,30,819,2
886,886,2,2,83,19,3585,312,306,1030,64,843,2
887,887,3,2,83,13,3586,576,236,588,29,771,4
888,888,2,2,82,13,3587,851,202,1415,33,513,3
889,889,2,2,82,22,3588,360,177,1017,35,710,3
890,890,2,1,82,20,3589,816,208,1476,45,907,4
891,891,2,2,83,12,3590,395,260,1496,34,900,3
892,892,3,3,83,22,3591,259,237,818,43,606,4
893,893,2,3,83,17,3592,173,270,1098,62,933,3
894,894,3,1,83,23,3593,802,272,999,56,797,3
895,895,1,1,82,16,3594,551,253,986,49,746,2
896,896,2,2,82,19,3595,244,301,1293,52,818,3
897,897,2,1,84,15,3596,762,196,1271,55,845,2
898,898,2,2,82,21,3597,208,247,618,50,562,3
899,899,2,1,83,22,3598,566,158,774,51,930,2
900,900,1,2,83,16,3599,669,157,1273,62,718,3
901,901,3,1,83,20,3600,608,260,1554,48,799,4
902,902,2,2,83,17,3601,387,144,759,50,588,3
903,903,3,3,82,22,3602,382,261,1159,31,595,3
904,904,3,2,83,23,3603,776,193,1173,31,798,4
905,905,2,3,84,23,3604,700,212,1128,28,555,4
906,906,2,2,83,17,3605,762,202,707,60,688,3
907,907,3,3,83,18,3606,589,197,876,50,835,3
908,908,2,1,84,12,3607,314,178,704,49,740,4
909,909,3,2,84,19,3608,849,273,1200,31,768,3
910,910,1,2,84,15,3609,825,177,1088,38,609,3
911,911,3,3,84,16,3610,706,293,1395,60,529,2
912,912,1,2,83,24,3611,614,305,1018,56,692,3
913,913,2,2,82,12,3612,440,209,1469,37,817,2
914,914,2,2,83,15,3613,421,220,730,49,907,3
915,915,2,3,82,21,3614,440,280,713,52,738,3
916,916,2,3,84,15,3615,590,153,1076,38,552,2
917,917,3,2,83,16,3616,453,279,601,52,539,3
918,918,3,3,82,15,3617,313,207,1559,52,713,3
919,919,2,2,82,18,3618,663,225,1508,62,845,3
920,920,2,2,82,23,3619,634,221,1031,52,721,2
921,921,2,2,84,16,3620,818,303,1436,47,632,2
922,922,2,2,83,22,3621,677,215,1336,56,805,3
923,923,3,1,83,24,3622,704,282,1012,33,508,4
924,924,2,2,82,16,3623,643,262,1086,58,682,3
925,925,1,1,83,23,3624,424,198,1551,59,914,3
926,926,3,2,83,14,3625,745,292,1390,58,588,3
927,927,2,2,83,13,3626,831,201,909,46,530,2
928,928,3,3,84,22,3627,310,164,1177,47,794,4
929,929,2,2,82,15,3628,226,248,1169,56,571,3
930,930,3,2,82,23,3629,896,302,1198,64,519,3
931,931,2,1,83,13,3630,843,236,1457,28,727,2
932,932,3,1,83,24,3631,210,158,914,42,806,2
933,933,1,2,83,18,3632,320,203,1460,35,780,2
934,934,2,2,83,17,3633,411,257,1287,34,871,3
935,935,3,3,84,16,3634,514,245,1217,62,861,4
936,936,2,2,83,19,3635,692,201,1287,43,758,3
937,937,2,1,84,22,3636,557,192,1291,39,604,3
938,938,2,3,82,22,3637,503,235,777,37,611,3
939,939,2,1,83,20,3638,279,205,644,30,741,3
940,940,3,2,84,15,3639,810,223,890,57,564,2
941,941,3,3,82,19,3640,783,210,1333,61,706,4
942,942,2,3,82,16,3641,139,292,1567,53,567,4
943,943,1,1,83,20,3642,565,258,1366,27,893,4
944,944,1,1,84,13,3643,814,279,811,60,673,3
945,945,2,2,84,24,3644,858,240,642,62,649,3
946,946,1,2,83,16,3645,349,146,816,44,676,2
947,947,2,3,83,17,3646,443,251,1209,47,662,3
948,948,2,2,82,19,3647,773,153,703,48,791,4
949,949,2,1,83,19,3648,841,216,1251,57,804,4
950,950,2,3,84,24,3649,401,269,977,41,647,3
951,951,1,1,82,15,3650,909,229,1109,62,545,3
952,952,2,1,83,15,3651,854,258,687,44,775,3
953,953,3,3,83,21,3652,156,307,1271,31,910,4
954,954,3,1,83,15,3653,282,237,1562,40,684,3
955,955,3,1,83,12,3654,164,170,1011,32,935,4
956,956,3,1,83,23,3655,142,283,700,58,585,3
957,957,2,1,84,14,3656,284,143,964,41,560,4
958,958,2,3,83,17,3657,767,176,1448,31,565,2
959,959,3,2,83,22,3658,582,172,772,33,699,3
960,960,2,2,83,23,3659,140,218,945,34,549,3
961,961,1,3,83,18,3660,340,277,640,47,872,2
962,962,1,1,83,12,3661,389,244,1409,59,834,4
963,963,2,3,84,21,3662,171,182,1400,32,899,3
964,964,2,3,83,22,3663,475,194,788,44,767,4
965,965,3,2,83,14,3664,688,196,1458,37,855,4
966,966,3,3,84,18,3665,173,252,1073,32,607,4
967,967,2,1,82,18,3666,452,152,1150,34,572,3
968,968,2,3,82,18,3667,346,233,1329,32,687,3
969,969,2,1,83,17,3668,759,269,596,53,597,2
970,970,3,1,84,16,3669,328,232,775,45,834,4
971,971,1,2,83,20,3670,808,261,1515,29,687,3
972,972,2,3,83,23,3671,889,164,1204,54,787,3
973,973,1,1,82,19,3672,843,157,1395,53,625,2
974,974,2,3,83,18,3673,567,286,1025,47,626,2
975,975,2,3,83,17,3674,838,220,1419,61,833,3
976,976,2,2,83,23,3675,287,309,740,41,568,3
977,977,2,1,82,16,3676,404,241,1320,50,638,2
978,978,2,2,83,16,3677,519,232,975,51,829,3
979,979,3,2,83,14,3678,862,148,1083,30,584,3
980,980,3,3,84,22,3679,766,203,671,41,788,3
981,981,1,1,83,14,3680,443,271,911,27,784,3
982,982,1,3,82,17,3681,878,277,1221,36,910,2
983,983,2,1,82,22,3682,395,255,959,41,912,4
984,984,3,1,84,16,3683,702,146,902,41,785,3
985,985,2,3,82,17,3684,531,194,1423,47,893,3
986,986,2,2,83,18,3685,224,196,771,59,630,3
987,987,2,2,84,16,3686,278,173,949,27,657,2
988,988,2,2,83,22,3687,211,177,937,31,868,2
989,989,2,1,84,14,3688,450,159,1165,55,733,4
990,990,1,3,83,13,3689,205,172,1244,44,772,2
991,991,3,1,82,24,3690,355,146,1073,42,769,2
992,992,1,3,82,13,3691,289,207,1481,50,696,4
993,993,2,2,84,16,3692,722,268,1047,62,527,3
994,994,1,2,82,17,3693,278,182,1015,59,688,3
995,995,3,3,84,23,3694,921,234,717,56,775,4
996,996,3,2,83,24,3695,773,226,697,59,785,4
997,997,3,1,83,14,3696,238,253,1150,35,683,2
998,998,3,3,83,21,3697,346,214,1209,36,668,4
999,999,3,2,82,18,3698,897,200,1319,62,705,4
1000,1000,1,3,82,20,3699,664,219,981,62,781,3
1001,1001,2,3,84,23,3700,825,289,1121,46,810,3
1002,1002,3,1,84,13,3701,486,273,611,43,852,3
1003,1003,1,2,83,24,3702,729,194,599,36,770,4
1004,1004,2,3,84,17,3703,621,222,743,39,604,3
1005,1005,2,3,84,13,3704,589,273,1284,55,682,3
1006,1006,1,2,82,19,3705,339,250,836,37,882,3
1007,1007,2,2,83,14,3706,663,150,862,45,761,3
